freelancer_ID,name,gender,age,country,language,primary_skill,years_of_experience,hourly_rate (USD),rating,is_active,client_satisfaction
FL250029,Megan Jones,FEMALE,47.0,Canada,English,AI,22.0,30.0,1.3,False,0.62
FL250030,Lori Smith,FEMALE,41.0,Netherlands,Dutch,Data Analysis,14.0,75.0,1.2,False,0.79
FL250031,Eric Carpenter,MALE,22.0,Netherlands,Dutch,DevOps,4.0,40.0,1.0,True,0.79
FL250032,Timothy Daniels,MALE,38.0,France,French,Machine Learning,19.0,100.0,4.2,False,0.68
FL250033,Robert Nelson,MALE,46.0,Egypt,Arabic,AI,9.0,20.0,1.4,True,0.76
FL250034,Michael Anderson,MALE,41.0,South Korea,Korean,AI,9.0,40.0,2.4,True,0.82
FL250035,Jessica Snyder,FEMALE,54.0,United States,English,Web Development,32.0,75.0,1.0,True,0.81
FL250036,Emily Daniels,FEMALE,52.0,South Korea,Korean,Web Development,28.0,20.0,2.6,False,0.79
FL250037,Jamie Ramirez,FEMALE,42.0,Japan,Japanese,Mobile Apps,6.0,40.0,2.6,False,0.63
FL250038,Amy Harrison,FEMALE,29.0,Netherlands,Dutch,Graphic Design,10.0,40.0,2.2,False,0.67
FL250039,Melinda White,FEMALE,42.0,South Africa,Afrikaans,Mobile Apps,23.0,50.0,3.2,True,0.79
FL250040,James Hernandez,MALE,60.0,Japan,Japanese,Web Development,13.0,20.0,3.6,False,0.8
FL250041,Angelica Rogers,FEMALE,59.0,United Kingdom,English,AI,3.0,50.0,0.0,False,0.79
FL250042,Savannah Williams,FEMALE,21.0,Canada,English,Web Development,0.0,30.0,2.7,True,0.84
FL250043,Kaitlyn Schmidt,FEMALE,35.0,Germany,German,DevOps,10.0,50.0,0.0,False,0.79
FL250044,Jason Singh,MALE,41.0,United Kingdom,English,Data Analysis,9.0,20.0,2.8,True,0.63
FL250045,Michelle Ramirez,FEMALE,51.0,Netherlands,Dutch,Machine Learning,23.0,20.0,2.5,False,0.8
FL250046,James Brown,MALE,41.0,South Africa,Afrikaans,Web Development,9.0,75.0,4.9,True,0.74
FL250047,Mrs. Samantha Simmons,FEMALE,47.0,Egypt,Arabic,DevOps,15.0,30.0,4.5,True,0.85
FL250048,Chase Mason,MALE,25.0,China,Mandarin,Graphic Design,4.0,50.0,2.7,False,0.77
FL250049,Dominique Ward,FEMALE,25.0,Mexico,Spanish,Mobile Apps,7.0,20.0,1.9,False,0.79
FL250050,Lance Griffin,MALE,29.0,Netherlands,Dutch,UI/UX Design,1.0,20.0,1.4,True,0.63
FL250051,Julie Burgess,FEMALE,23.0,Argentina,Spanish,Cybersecurity,0.0,75.0,1.9,True,0.79
FL250052,Don Scott,MALE,31.0,France,French,Data Analysis,8.0,50.0,3.4,False,0.79
FL250053,Kyle Atkinson,MALE,51.0,Germany,German,Machine Learning,33.0,75.0,3.3,False,0.68
FL250054,Jimmy Hogan,MALE,41.0,Spain,Spanish,UI/UX Design,1.0,30.0,0.0,False,0.68
FL250055,Jennifer Mcintyre,FEMALE,29.0,Turkey,Turkish,Cybersecurity,11.0,100.0,2.3,True,0.72
FL250056,Larry Simpson,MALE,50.0,United Kingdom,English,AI,15.0,40.0,2.0,True,0.65
FL250057,Laura Price,FEMALE,26.0,United Kingdom,English,DevOps,8.0,50.0,1.3,False,0.76
FL250058,Mark Wright,MALE,38.0,Canada,English,AI,17.0,40.0,4.0,True,0.9
FL250059,Samantha Mcdaniel,FEMALE,23.0,India,Hindi,Mobile Apps,9.0,75.0,3.6,True,0.65
FL250060,Barbara Foster,FEMALE,51.0,South Africa,Afrikaans,DevOps,28.0,40.0,3.9,False,0.63
FL250061,Courtney Tran,FEMALE,51.0,Indonesia,Indonesian,AI,33.0,75.0,0.0,True,0.79
FL250062,Eddie Todd,MALE,47.0,Germany,German,AI,18.0,75.0,0.0,False,0.79
FL250063,Christine Johnson,FEMALE,34.0,Russia,Russian,UI/UX Design,16.0,20.0,2.3,True,0.93
FL250064,Leah Phelps,FEMALE,58.0,Indonesia,Indonesian,Data Analysis,35.0,50.0,4.7,False,0.7
FL250065,Rebekah Williams,FEMALE,50.0,Russia,Russian,AI,14.0,40.0,3.5,True,0.83
FL250066,Crystal Wilson,FEMALE,34.0,Spain,Spanish,Web Development,12.0,40.0,2.4,True,0.64
FL250067,Ashley Cordova,FEMALE,45.0,Brazil,Portuguese,AI,11.0,75.0,4.0,False,1.0
FL250068,Vicki Kelly,FEMALE,55.0,Brazil,Portuguese,Web Development,0.0,40.0,0.0,True,0.79
FL250069,Corey Warren,MALE,41.0,Argentina,Spanish,UI/UX Design,6.0,100.0,1.5,False,0.79
FL250070,Gina Thompson,FEMALE,60.0,China,Mandarin,UI/UX Design,38.0,20.0,2.0,False,0.71
FL250071,Yvonne Berg,FEMALE,33.0,South Africa,Afrikaans,Mobile Apps,11.0,40.0,2.6,True,0.84
FL250072,Thomas Miller,MALE,60.0,Italy,Italian,DevOps,13.0,50.0,1.0,False,0.79
FL250073,Nicholas Burton,MALE,40.0,United States,English,Web Development,9.0,100.0,4.5,True,0.69
FL250074,Jorge Riley,MALE,59.0,Australia,English,Blockchain Development,4.0,40.0,1.9,False,0.88
FL250075,Melvin Harris,MALE,36.0,Italy,Italian,Machine Learning,14.0,100.0,3.7,False,0.79
FL250076,Jeremy Meyer,MALE,32.0,India,Hindi,Data Analysis,9.0,30.0,1.9,True,0.96
FL250077,Timothy Lee,MALE,59.0,Australia,English,AI,9.0,75.0,4.0,True,0.96
FL250078,Diana Bautista,FEMALE,54.0,Spain,Spanish,DevOps,32.0,40.0,1.8,False,0.79
FL250079,Leslie Rodriguez,FEMALE,37.0,Canada,English,Graphic Design,9.0,40.0,0.0,True,0.89
FL250080,Noah Wiggins,MALE,54.0,India,Hindi,Machine Learning,21.0,100.0,4.6,False,0.79
FL250081,Bridget Williams,FEMALE,33.0,Argentina,Spanish,UI/UX Design,12.0,100.0,3.6,False,0.63
FL250082,Veronica Baker,FEMALE,25.0,Egypt,Arabic,Web Development,7.0,40.0,4.4,False,0.81
FL250083,Andrew Avila,MALE,41.0,China,Mandarin,DevOps,3.0,40.0,4.6,False,0.74
FL250084,Michael Roberson,MALE,35.0,South Korea,Korean,Web Development,5.0,75.0,3.2,False,0.72
FL250085,Austin Jenkins,MALE,59.0,South Korea,Korean,AI,30.0,40.0,0.0,True,0.79
FL250086,Brenda Green,FEMALE,21.0,China,Mandarin,DevOps,2.0,100.0,2.6,True,0.85
FL250087,Samuel Pierce,MALE,25.0,United States,English,Mobile Apps,2.0,75.0,3.7,False,0.79
FL250088,Briana Smith,FEMALE,38.0,Mexico,Spanish,Web Development,19.0,75.0,2.3,False,0.61
FL250089,Ronald Barrett,MALE,57.0,Russia,Russian,AI,16.0,100.0,3.1,False,0.79
FL250090,Matthew Smith,MALE,32.0,India,Hindi,Mobile Apps,10.0,20.0,2.4,False,0.86
FL250091,Logan Huang,MALE,21.0,Italy,Italian,DevOps,2.0,100.0,1.6,True,0.97
FL250092,Miranda Hutchinson,FEMALE,57.0,Canada,English,Cybersecurity,18.0,50.0,2.4,True,0.63
FL250093,Paul Richardson,MALE,53.0,China,Mandarin,UI/UX Design,21.0,100.0,2.6,True,0.97
FL250094,Jose Jones,MALE,35.0,Russia,Russian,Blockchain Development,3.0,30.0,3.8,True,0.81
FL250095,Denise Smith,FEMALE,54.0,China,Mandarin,Machine Learning,17.0,20.0,1.7,False,0.69
FL250096,Shelby Mcmahon,FEMALE,36.0,Italy,Italian,UI/UX Design,0.0,20.0,1.3,True,0.64
FL250097,Bethany Wright,FEMALE,49.0,Spain,Spanish,Cybersecurity,25.0,50.0,5.0,False,0.77
FL250098,David Ortiz,MALE,37.0,United States,English,Blockchain Development,17.0,20.0,3.3,False,0.96
FL250099,Andrew Lynch,MALE,41.0,United States,English,UI/UX Design,5.0,20.0,1.1,False,0.74
FL250100,Kristopher Meyers,MALE,32.0,Egypt,Arabic,UI/UX Design,10.0,50.0,1.2,False,0.89
FL250101,Thomas Roth,MALE,35.0,India,Hindi,Mobile Apps,0.0,40.0,2.0,True,0.64
FL250102,Vicki Brown,FEMALE,51.0,Russia,Russian,Graphic Design,2.0,30.0,4.5,False,0.64
FL250103,Stacy Sutton,FEMALE,50.0,Russia,Russian,DevOps,30.0,100.0,3.0,True,0.73
FL250104,Kimberly Holland,FEMALE,21.0,Turkey,Turkish,Blockchain Development,2.0,50.0,4.9,True,0.68
FL250105,Travis Richardson,MALE,25.0,United States,English,Graphic Design,3.0,30.0,2.6,False,0.88
FL250106,Jasmin Ho,FEMALE,57.0,France,French,DevOps,21.0,40.0,2.5,False,0.77
FL250107,Mark Paul,MALE,58.0,Russia,Russian,Blockchain Development,3.0,40.0,0.0,True,0.79
FL250108,Jennifer Lewis,FEMALE,45.0,Indonesia,Indonesian,Mobile Apps,19.0,40.0,2.6,True,0.72
FL250109,Elizabeth Lester,FEMALE,23.0,United States,English,Web Development,0.0,20.0,4.7,True,0.6
FL250110,Kimberly Griffin,FEMALE,46.0,United States,English,AI,9.0,30.0,3.5,False,0.72
FL250111,Tyler Warner,MALE,27.0,Argentina,Spanish,UI/UX Design,5.0,30.0,2.6,False,0.92
FL250112,Jane Cox,FEMALE,32.0,United States,English,Machine Learning,6.0,50.0,3.4,True,0.79
FL250113,Leah Williams,FEMALE,48.0,Argentina,Spanish,Machine Learning,6.0,75.0,2.5,False,0.92
FL250114,Kevin Wong,MALE,30.0,Turkey,Turkish,Mobile Apps,3.0,30.0,1.1,True,0.79
FL250115,Robert Andrews,MALE,59.0,Turkey,Turkish,AI,13.0,20.0,4.8,False,0.79
FL250116,Jessica Torres,FEMALE,32.0,Mexico,Spanish,AI,5.0,30.0,2.6,False,0.86
FL250117,Teresa Kim,FEMALE,57.0,Egypt,Arabic,UI/UX Design,4.0,40.0,3.4,True,0.68
FL250118,Jon Morgan,MALE,27.0,Australia,English,Machine Learning,7.0,20.0,3.2,True,0.62
FL250119,Gloria Chaney,FEMALE,33.0,Indonesia,Indonesian,Machine Learning,13.0,20.0,3.2,False,0.79
FL250120,Jesse Campbell,MALE,29.0,South Korea,Korean,Data Analysis,4.0,30.0,0.0,True,0.82
FL250121,Allison Tucker MD,FEMALE,36.0,Indonesia,Indonesian,UI/UX Design,13.0,75.0,2.6,True,0.79
FL250122,Candice Petersen,FEMALE,47.0,Italy,Italian,DevOps,5.0,40.0,3.7,False,0.93
FL250123,Christopher Nichols,MALE,48.0,Canada,English,Machine Learning,15.0,50.0,1.0,True,0.64
FL250124,Debra Garcia,FEMALE,27.0,China,Mandarin,UI/UX Design,8.0,50.0,0.0,False,0.79
FL250125,Andrew Fuentes,MALE,34.0,Australia,English,Web Development,10.0,40.0,1.7,False,0.96
FL250126,Jason Carter,MALE,49.0,South Korea,Korean,Data Analysis,19.0,40.0,5.0,True,0.83
FL250127,Austin Romero,MALE,30.0,Brazil,Portuguese,Mobile Apps,10.0,100.0,1.7,True,0.64
FL250128,Clayton Burns,MALE,31.0,Egypt,Arabic,Graphic Design,8.0,40.0,4.4,False,0.7
FL250129,Jonathan Clark,MALE,58.0,China,Mandarin,Machine Learning,9.0,20.0,0.0,False,0.65
FL250130,Alexander Griffin,MALE,47.0,France,French,Machine Learning,13.0,40.0,3.4,False,0.67
FL250131,Shelly Whitehead,FEMALE,45.0,United Kingdom,English,Cybersecurity,14.0,100.0,1.1,False,0.93
FL250132,Kaitlyn Davis,FEMALE,57.0,France,French,Machine Learning,0.0,50.0,1.6,False,0.6
FL250133,Christopher Jones,MALE,50.0,India,Hindi,Web Development,22.0,100.0,4.1,False,0.62
FL250134,Cindy Jacobs,FEMALE,41.0,Brazil,Portuguese,Machine Learning,4.0,40.0,2.5,False,0.7
FL250135,Penny Day,FEMALE,45.0,Indonesia,Indonesian,Blockchain Development,22.0,100.0,4.0,True,0.75
FL250136,Thomas Ingram,MALE,60.0,South Africa,Afrikaans,Cybersecurity,39.0,75.0,1.4,False,0.7
FL250137,Donna Hansen,FEMALE,43.0,United Kingdom,English,Cybersecurity,5.0,50.0,2.6,True,0.84
FL250138,Donna Bailey,FEMALE,39.0,France,French,Cybersecurity,5.0,40.0,1.2,False,0.83
FL250139,Joshua Armstrong,MALE,26.0,Mexico,Spanish,UI/UX Design,5.0,50.0,0.0,False,0.79
FL250140,Jonathan Garza,MALE,31.0,Germany,German,Cybersecurity,11.0,50.0,3.1,False,0.88
FL250141,Charles Jones,MALE,52.0,France,French,UI/UX Design,15.0,50.0,0.0,True,0.81
FL250142,Lindsey Miles,FEMALE,34.0,India,Hindi,Data Analysis,5.0,20.0,2.2,True,0.8
FL250143,Eduardo Reed,MALE,45.0,United Kingdom,English,Web Development,7.0,75.0,3.0,True,0.67
FL250144,Lee Fowler,MALE,46.0,United Kingdom,English,Cybersecurity,9.0,20.0,0.0,False,0.82
FL250145,Steven Jones Jr.,MALE,56.0,France,French,UI/UX Design,21.0,100.0,0.0,True,0.78
FL250146,Ashley Chen,FEMALE,59.0,Germany,German,AI,7.0,40.0,1.4,False,0.81
FL250147,Erica Davis,FEMALE,54.0,Egypt,Arabic,Blockchain Development,4.0,40.0,1.4,True,0.74
FL250148,Wayne Gonzales,MALE,36.0,Germany,German,UI/UX Design,7.0,30.0,0.0,False,0.88
FL250149,Gary Ballard,MALE,25.0,Mexico,Spanish,Data Analysis,0.0,40.0,0.0,False,0.9
FL250150,Maria Mcguire,FEMALE,37.0,Russia,Russian,Data Analysis,15.0,40.0,2.9,False,0.79
FL250151,Matthew Richards,MALE,41.0,Turkey,Turkish,Data Analysis,10.0,40.0,0.0,False,0.79
FL250152,Patrick Malone,MALE,29.0,Spain,Spanish,Data Analysis,11.0,20.0,2.7,False,0.93
FL250153,Cindy Martin,FEMALE,55.0,Argentina,Spanish,Mobile Apps,12.0,100.0,1.8,True,0.79
FL250154,Anne Edwards,FEMALE,38.0,Japan,Japanese,DevOps,20.0,75.0,1.1,False,0.71
FL250155,Mitchell Martin,MALE,47.0,South Korea,Korean,DevOps,29.0,40.0,4.3,True,0.95
FL250156,Mitchell Patrick,MALE,60.0,Brazil,Portuguese,Web Development,15.0,100.0,1.5,False,0.8
FL250157,Rebecca Lyons,FEMALE,43.0,Italy,Italian,Data Analysis,9.0,20.0,2.2,False,0.79
FL250158,Christian Lopez,MALE,56.0,South Africa,Afrikaans,Data Analysis,9.0,100.0,3.2,False,0.62
FL250159,Nathan Blair,MALE,42.0,Russia,Russian,DevOps,2.0,50.0,1.9,False,0.95
FL250160,Patricia Lopez,FEMALE,20.0,Spain,Spanish,Graphic Design,0.0,40.0,2.5,False,0.79
FL250161,Michelle Wu,FEMALE,47.0,Indonesia,Indonesian,UI/UX Design,12.0,40.0,4.5,False,0.62
FL250162,Donald Mitchell,MALE,41.0,Argentina,Spanish,Data Analysis,12.0,30.0,4.1,False,0.68
FL250163,Sean Gordon,MALE,56.0,Indonesia,Indonesian,DevOps,15.0,75.0,0.0,False,0.79
FL250164,Gregory Clarke,MALE,59.0,United Kingdom,English,DevOps,29.0,75.0,2.6,False,0.8
FL250165,Steven Whitney,MALE,56.0,Japan,Japanese,Cybersecurity,15.0,40.0,3.7,False,0.92
FL250166,Robin Acosta,FEMALE,31.0,South Africa,Afrikaans,Web Development,9.0,75.0,1.3,True,0.65
FL250167,John Smith,MALE,60.0,South Korea,Korean,Mobile Apps,33.0,40.0,3.6,True,0.87
FL250168,Susan Baker,FEMALE,31.0,Canada,English,Web Development,10.0,75.0,0.0,False,0.7
FL250169,Anthony Larsen,MALE,60.0,Argentina,Spanish,Cybersecurity,20.0,40.0,1.4,False,0.87
FL250170,Nicholas Carpenter,MALE,46.0,France,French,DevOps,23.0,20.0,2.9,False,0.72
FL250171,Debra Salazar,FEMALE,41.0,Netherlands,Dutch,Blockchain Development,9.0,40.0,2.8,False,0.8
FL250172,William Smith,MALE,34.0,Japan,Japanese,UI/UX Design,0.0,20.0,1.7,False,0.66
FL250173,Caroline Gross,FEMALE,42.0,Netherlands,Dutch,Graphic Design,7.0,40.0,0.0,True,0.79
FL250174,Jeremy Sawyer,MALE,31.0,United Kingdom,English,Data Analysis,4.0,75.0,1.1,True,0.64
FL250175,Eduardo Burns,MALE,29.0,Brazil,Portuguese,UI/UX Design,9.0,20.0,2.6,False,0.68
FL250176,Amanda Jones,FEMALE,57.0,Australia,English,Graphic Design,17.0,20.0,3.6,False,0.63
FL250177,Frederick Ware,MALE,47.0,India,Hindi,DevOps,8.0,20.0,4.5,True,0.72
FL250178,Michael Black,MALE,47.0,South Africa,Afrikaans,AI,14.0,30.0,0.0,True,0.86
FL250179,Patricia Sanders,FEMALE,45.0,France,French,Graphic Design,21.0,30.0,1.5,True,0.73
FL250180,Marc Joseph,MALE,24.0,Turkey,Turkish,Machine Learning,1.0,30.0,3.7,False,0.95
FL250181,Vanessa White,FEMALE,31.0,Argentina,Spanish,Mobile Apps,12.0,20.0,2.3,False,0.9
FL250182,Jennifer Garcia,FEMALE,20.0,Mexico,Spanish,Graphic Design,2.0,20.0,2.8,False,0.78
FL250183,Michael Zavala,MALE,38.0,Japan,Japanese,Web Development,3.0,30.0,3.5,False,0.97
FL250184,Kimberly Williams,FEMALE,33.0,Germany,German,UI/UX Design,11.0,40.0,0.0,True,0.65
FL250185,Elizabeth Jenkins,FEMALE,31.0,Australia,English,Web Development,4.0,40.0,3.2,True,0.78
FL250186,Brandon Ford,MALE,41.0,Spain,Spanish,Machine Learning,21.0,50.0,3.3,True,0.65
FL250187,Justin House,MALE,54.0,Turkey,Turkish,Web Development,0.0,20.0,4.9,False,0.79
FL250188,Henry Mullen,MALE,50.0,Mexico,Spanish,Data Analysis,6.0,30.0,2.2,True,0.95
FL250189,Jesse Cochran,MALE,48.0,Brazil,Portuguese,Machine Learning,18.0,40.0,2.6,True,0.88
FL250190,Melissa Rich,FEMALE,49.0,Mexico,Spanish,Graphic Design,9.0,40.0,1.8,False,0.79
FL250191,Patrick Dunlap,MALE,21.0,South Korea,Korean,Graphic Design,1.0,75.0,4.6,False,0.92
FL250192,Troy Carson,MALE,58.0,Australia,English,Graphic Design,20.0,75.0,2.8,False,0.75
FL250193,Matthew Smith,MALE,41.0,Italy,Italian,DevOps,9.0,30.0,1.4,False,0.74
FL250194,Jennifer Cherry,FEMALE,58.0,Russia,Russian,Blockchain Development,25.0,30.0,4.2,True,0.71
FL250195,Brandi Tucker,FEMALE,50.0,South Africa,Afrikaans,Graphic Design,20.0,40.0,3.6,True,0.89
FL250196,Zachary Burke,MALE,52.0,Indonesia,Indonesian,Web Development,33.0,100.0,1.6,False,0.66
FL250197,Thomas Jones,MALE,34.0,Netherlands,Dutch,Data Analysis,6.0,100.0,2.0,False,0.79
FL250198,Brian Dunn,MALE,32.0,France,French,Machine Learning,11.0,40.0,4.3,True,0.86
FL250199,Shirley Strickland,FEMALE,50.0,India,Hindi,Graphic Design,28.0,100.0,4.9,True,0.86
FL250200,Nicole Meyers,FEMALE,39.0,Argentina,Spanish,Data Analysis,11.0,100.0,3.5,True,0.82
FL250201,Jill Stephens,FEMALE,25.0,Spain,Spanish,AI,2.0,100.0,2.5,False,0.87
FL250202,Heidi Miranda,FEMALE,55.0,China,Mandarin,Machine Learning,7.0,100.0,1.7,True,0.8
FL250203,Jesus Martinez,MALE,42.0,Italy,Italian,DevOps,10.0,100.0,4.6,True,0.71
FL250204,Adam Payne,MALE,43.0,Russia,Russian,Mobile Apps,6.0,50.0,2.6,False,0.77
FL250205,Walter Williams,MALE,54.0,Italy,Italian,DevOps,29.0,30.0,1.7,False,0.68
FL250206,Shannon Farmer,FEMALE,21.0,Egypt,Arabic,Graphic Design,0.0,20.0,1.8,False,0.91
FL250207,Peter Reyes,MALE,46.0,Canada,English,UI/UX Design,5.0,20.0,2.2,False,0.75
FL250208,Kristen Knight,FEMALE,30.0,Spain,Spanish,Blockchain Development,11.0,40.0,1.0,False,0.9
FL250209,William Moore Jr.,MALE,36.0,China,Mandarin,Machine Learning,11.0,75.0,3.2,False,0.93
FL250210,Jennifer Rowe,FEMALE,47.0,Germany,German,Data Analysis,15.0,40.0,2.1,True,0.94
FL250211,Mikayla Henry,FEMALE,43.0,Canada,English,Mobile Apps,1.0,50.0,4.6,True,0.64
FL250212,Jacob Kerr,MALE,57.0,South Korea,Korean,Cybersecurity,8.0,20.0,0.0,True,0.84
FL250213,Ryan Johnson,MALE,52.0,Italy,Italian,Machine Learning,30.0,20.0,2.8,False,0.87
FL250214,Michael Ruiz,MALE,41.0,Germany,German,Blockchain Development,8.0,40.0,0.0,False,0.64
FL250215,Monica Roberts,FEMALE,22.0,Indonesia,Indonesian,Machine Learning,0.0,100.0,2.7,True,0.64
FL250216,Danny Brown,MALE,41.0,India,Hindi,Machine Learning,12.0,20.0,0.0,True,0.8
FL250217,Karen Larsen,FEMALE,58.0,Spain,Spanish,Mobile Apps,4.0,50.0,3.1,False,0.9
FL250218,Robert Evans,MALE,39.0,South Korea,Korean,Web Development,14.0,100.0,0.0,True,0.92
FL250219,Sean Poole,MALE,32.0,Indonesia,Indonesian,Graphic Design,14.0,40.0,2.6,False,0.96
FL250220,Richard Quinn,MALE,37.0,Canada,English,UI/UX Design,2.0,30.0,2.3,True,0.79
FL250221,Jennifer Gonzalez,FEMALE,21.0,China,Mandarin,Cybersecurity,2.0,100.0,2.4,True,0.79
FL250222,James Skinner,MALE,41.0,South Korea,Korean,Machine Learning,4.0,75.0,2.6,False,0.85
FL250223,Michelle Hill,FEMALE,21.0,Canada,English,AI,0.0,40.0,1.1,False,0.79
FL250224,Jacqueline Williams,FEMALE,58.0,China,Mandarin,Machine Learning,9.0,30.0,0.0,True,0.65
FL250225,Darrell Johnson,MALE,60.0,Canada,English,Machine Learning,3.0,40.0,4.7,False,0.63
FL250226,Ryan Crawford,MALE,27.0,South Africa,Afrikaans,Web Development,2.0,40.0,1.2,False,0.79
FL250227,Chelsea Barber,FEMALE,29.0,Germany,German,Machine Learning,10.0,40.0,1.2,False,0.78
FL250228,Elaine Martinez,FEMALE,54.0,Canada,English,Graphic Design,33.0,75.0,0.0,True,0.62
FL250229,Joseph Kent,MALE,52.0,Mexico,Spanish,Machine Learning,12.0,40.0,1.2,False,0.76
FL250230,Megan Welch,FEMALE,55.0,Indonesia,Indonesian,Blockchain Development,18.0,100.0,2.9,False,0.97
FL250231,Stephen Ramirez,MALE,37.0,Brazil,Portuguese,Blockchain Development,4.0,40.0,2.6,False,0.79
FL250232,Chloe Gray,FEMALE,34.0,Egypt,Arabic,Data Analysis,11.0,50.0,3.9,True,0.82
FL250233,Michael Williams Jr.,MALE,20.0,France,French,Data Analysis,1.0,50.0,3.1,False,0.71
FL250234,Matthew Martin,MALE,22.0,Mexico,Spanish,UI/UX Design,2.0,40.0,0.0,True,0.79
FL250235,Julia Murphy,FEMALE,23.0,South Korea,Korean,Graphic Design,2.0,50.0,3.2,True,0.79
FL250236,Anna Evans,FEMALE,53.0,South Korea,Korean,Blockchain Development,34.0,30.0,2.6,True,0.79
FL250237,Brenda Fleming,FEMALE,56.0,South Korea,Korean,Graphic Design,27.0,100.0,4.7,True,0.69
FL250238,Daniel Harrington,MALE,27.0,Canada,English,AI,4.0,75.0,5.0,False,0.88
FL250239,Daniel Barnett,MALE,34.0,Italy,Italian,Mobile Apps,11.0,40.0,2.6,False,0.67
FL250240,Mark Cummings,MALE,29.0,United States,English,Web Development,4.0,50.0,4.0,False,0.79
FL250241,Christopher Guerra,MALE,34.0,India,Hindi,AI,11.0,40.0,1.2,True,0.79
FL250242,Sarah Ho,FEMALE,32.0,Mexico,Spanish,AI,1.0,100.0,4.7,False,0.67
FL250243,Veronica Thomas,FEMALE,21.0,South Africa,Afrikaans,Machine Learning,2.0,20.0,2.4,False,0.86
FL250244,Mitchell Watson,MALE,20.0,Mexico,Spanish,Graphic Design,2.0,40.0,1.1,False,0.69
FL250245,Monica Murphy,FEMALE,35.0,United States,English,Mobile Apps,10.0,50.0,1.4,True,0.85
FL250246,Kristen Williams,FEMALE,47.0,United States,English,UI/UX Design,18.0,40.0,3.4,False,0.6
FL250247,Nicole Wright,FEMALE,41.0,Turkey,Turkish,Blockchain Development,4.0,40.0,2.7,True,0.7
FL250248,Andrew Ruiz,MALE,58.0,Argentina,Spanish,Web Development,23.0,40.0,4.9,False,0.79
FL250249,Zachary Jackson,MALE,34.0,China,Mandarin,Data Analysis,6.0,75.0,1.9,True,0.81
FL250250,Stephanie Carter,FEMALE,50.0,India,Hindi,Mobile Apps,5.0,100.0,2.6,True,0.79
